id,name,shortname,entrez_id,mgi
1363,"forkhead box I1","Foxi1","14233","1096329"
1401,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1","Atp5a1","11946","88115"
1394,"general transcription factor II I","Gtf2i","14886","1202722"
3,"zinc finger and SCAN domain containing 12","Zscan12","22758","1099444"
9,"astrotactin 1","Astn1","11899","1098567"
10,"SCAN domain-containing 1","Scand1","19018","1343132"
15,"forkhead box G1","Foxg1","15228","1347464"
16,"RAR-related orphan receptor alpha","Rora","19883","104661"
18,"smoothened homolog (Drosophila)","Smo","319757","108075"
19,"protocadherin alpha 6","Pcdha6","12937","1298367"
23,"GLI-Kruppel family member GLI3","Gli3","14634","95729"
24,"cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)","Chrnb2","11444","87891"
30,"Bubblegum","Bubblegum","",""
31,"nerve growth factor","Ngf","18049","97321"
34,"parkin","Park2","50873","1355296"
38,"proteasome inhibitor hPI31","PI31","",""
39,"BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis)","Bambi","68010","1915260"
42,"Beclin","Beclin","",""
45,"This is a duplicate entry for Atxn1 (Ataxin 1)","Sca1","20238x","104783"
47,"enabled homolog (Drosophila)","Enah","13800","108360"
54,"neurotrophin 3","Ntf3","18205","97380"
56,"atonal homolog 4","Atoh4","",""
57,"protocadherin alpha 4","Pcdha4","12936","1298406"
58,"homer homolog 2 (Drosophila)","Homer2","26557","1347354"
59,"potassium voltage-gated channel, shaker-related subfamily, beta member 2","Kcnab2","16498","109239"
60,"reelin","Reln","19699","103022"
71,"glutamate receptor, ionotropic, NMDA1 (zeta 1)","Grin1","14810","95819"
73,"glutamate receptor, ionotropic, AMPA1 (alpha 1)","Gria1","14799","95808"
74,"glutamate receptor, ionotropic, delta 1","Grid1","14803","95812"
75,"glutamate receptor, ionotropic, kainate 2 (beta 2)","Grik2","14806","95815"
81,"5-hydroxytryptamine (serotonin) receptor 1A","Htr1a","15550","96273"
83,"5-hydroxytryptamine (serotonin) receptor 2B","Htr2b","15559","109323"
85,"somatostatin receptor 3","Sstr3","20607","98329"
86,"somatostatin receptor 5","Sstr5","20609","894282"
90,"granulin","Grn","14824","95832"
91,"matrix metalloproteinase 15","Mmp15","17388","109320"
95,"glycine receptor, alpha 1 subunit","Glra1","14654","95747"
99,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B","Sema4b","20352","107559"
100,"integrin alpha 3","Itga3","16400","96602"
104,"integrin beta 1 (fibronectin receptor beta)","Itgb1","16412","96610"
105,"ephrin A2","Efna2","13637","102707"
106,"discoidin domain receptor family, member 2","Ddr2","18214","1345277"
109,"golgi associated PDZ and coiled-coil motif containing","Gopc","94221","2149946"
118,"cholinergic receptor, muscarinic 3, cardiac","Chrm3","12671","88398"
122,"serine racemase","Srr","27364","1351636"
128,"syndecan binding protein","Sdcbp","53378","1337026"
130,"glutamate receptor, ionotropic, NMDA2D (epsilon 4)","Grin2d","14814","95823"
132,"gamma-aminobutyric acid (GABA-C) receptor, subunit rho 2","Gabrr2","14409","95626"
149,"ciliary neurotrophic factor receptor","Cntfr","12804","99605"
150,"cholinergic receptor, nicotinic, alpha polypeptide 4","Chrna4","11438","87888"
152,"glutamate metabotropic receptor 2","Grm2Rat","24415",""
158,"cut-like homeobox 2","Cux2","13048","107321"
161,"p21 protein (Cdc42/Rac)-activated kinase 6","Pak6","214230","2679420"
163,"ataxia telangiectasia mutated homolog (human)","Atm","11920","107202"
167,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide","Ywhaz","22631","109484"
183,"even skipped homeotic gene 2 homolog","Evx2","14029","95462"
181,"catechol-O-methyltransferase","Comt","12846","88470"
177,"zinc finger DHHC-type containing 8","ZDHHC8","29801",""
189,"potassium voltage-gated channel, subfamily H (eag-related), member 5duplicate","Eag2","",""
194,"superoxide dismutase 1, soluble","Sod1","20655","98351"
196,"cadherin 6","Cdh6","12563","107435"
197,"cadherin 8","Cdh8","12564","107434"
8,"Reference Set","Ref","",""
200,"myelin-associated oligodendrocytic basic protein","Mobp","17433","108511"
202,"distal-less homeobox 3","Dlx3","13393","94903"
203,"cut-like homeobox 1","Cux1","13047","88568"
206,"Iroquois related homeobox 2 (Drosophila)","Irx2","16372","1197526"
207,"LIM homeobox transcription factor 1 alpha","Lmx1a","110648","1888519"
208,"Na+/K+ transporting ATPase interacting 4","Nkain4","58237","1915372"
211,"RAN binding protein 1","Ranbp1","19385","96269"
216,"glial cell line derived neurotrophic factor","Gdnf","14573","107430"
219,"SLIT-ROBO Rho GTPase activating protein 2","Srgap2","14270","109605"
220,"notch 1","Notch1","18128","97363"
222,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","Sema3f","20350","1096347"
226,"Unc-51 like kinase 1 (C. elegans)","Ulk1","22241","1270126"
230,"Incorrect Lynx1","Incorrect","",""
231,"glutamate receptor, ionotropic, NMDA2A (epsilon 1)","Grin2a","14811","95820"
233,"Transformation related protein 73","Trp73","22062","1336991"
234,"zinc finger protein interacting with K protein 1","Zik1","22775","108070"
235,"minichromosome maintenance deficient 2 mitotin (S. cerevisiae)","Mcm2","17216","105380"
236,"astrotactin 2","Astn2","56079","1889277"
238,"artemin","Artn","11876","1333791"
239,"survival motor neuron","Smn","20595","109257"
240,"Vb79b04.r1","Vb7904","","463734"
242,"glutamate receptor, ionotropic, kainate 1","Grik1","14805","95814"
245,"secreted frizzled-related protein 2","Sfrp2","20319","108078"
247,"protocadherin alpha 9","Pcdha9","192161","2447322"
248,"protocadherin alpha 10","Pcdha10","12943","1298408"
249,"protocadherin alpha 11","Pcdha11","12942","1298372"
250,"protocadherin alpha 13","Pcdha13","192164","1298370"
252,"nuclear receptor subfamily 2, group C, member 2","Nr2c2","22026","1352466"
253,"T-box brain gene 1","Tbr1","21375","107404"
258,"RIKEN cDNA 0710001E13 gene","0710001E13Rik","","1921350"
259,"glutamate receptor, metabotropic 8","Grm8","14823","1351345"
262,"protocadherin alpha 7","Pcdha7","12939","1298369"
263,"protocadherin alpha 1","Pcdha1","116731","2150982"
264,"transient receptor potential cation channel, subfamily V, member 4","Trpv4","63873","1926945"
265,"transient receptor potential cation channel, subfamily V, member 3","Trpv3","246788","2181407"
267,"RIKEN cDNA 2900010D03 gene","Lrrc47","72946","1920196"
268,"similar to KIAA1317 protein","LOC240233","240233",""
270,"amyotrophic lateral sclerosis 2 (juvenile)","Als2","74018","1921268"
273,"Protein 287","P287","",""
274,"expressed sequence AI849226","AI849226","100753","2140988"
275,"solute carrier family 45, member 4","Slc45a4","106068","2146236"
276,"ribosomal protein S6 kinase, polypeptide 2","Rps6kb2","58988","1927343"
278,"DNA segment, Chr 14, ERATO Doi 171, expressed","D14Ertd171e","238988","1098749"
280,"SUMO/sentrin specific protease 2","Senp2","75826","1923076"
281,"expressed sequence AI427515","AI427515","270097","2142534"
283,"lymphocyte cytosolic protein 2","Lcp2","16822","1321402"
287,"RIKEN cDNA 8430419L09 gene","8430419L09Rik","74525","1921775"
292,"ProSAPiP1 protein","Prosapip1","241638","2656976"
294,"insulin-like growth factor binding protein 5","Igfbp5","16011","96440"
295,"tripartite motif-containing 2","Trim2","80890","1933163"
296,"cell division cycle 45","Cdc45","12544","1338073"
302,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein, alpha 1","Ppfia1","233977","1924750"
360,"glycoprotein Ib, beta polypeptide","Gp1bb","14724","107852"
308,"breast cancer 1","Brca1","12189","104537"
309,"solute carrier family 16 (monocarboxylic acid transporters), member 3","Slc16a3","80879","1933438"
310,"casein kinase 1, epsilon","Csnk1e","27373","1351660"
312,"Protein 468","P468","",""
313,"ATPase, Class I, type 8B, member 3","Atp8b3","67331","1914581"
314,"InaD-like (Drosophila)","Inadl","12695","1277960"
315,"seizure related 6 homolog like 2","Sez6l2","233878","2385295"
316,"leucine rich repeat and fibronectin type III domain containing 2","Lrfn2","70530","1917780"
318,"collagen, type XX, alpha 1","Col20a1","73368","1920618"
319,"RIKEN cDNA 1200009O22 gene","1200009O22Rik","66873","1914123"
324,"sperm associated antigen 9","Spag9","70834","1918084"
326,"5-hydroxytryptamine (serotonin) receptor 2C","Htr2c","15560","96281"
330,"cytoplasmic polyadenylation element binding protein 3","Cpeb3","208922","2443075"
334,"Calbindin-mut PCE1","Calbmut","",""
337,"NLR family, apoptosis inhibitory protein 1","Naip1","17940","1298223"
338,"potassium voltage-gated channel, subfamily H (eag-related), member 5","Kcnh5","238271","3584508"
341,"PHD finger protein 24","Phf24","230085","2140712"
343,"chloride channel 1","Clcn1","12723","88417"
344,"eukaryotic translation initiation factor 4, gamma 1","Eif4g1","208643","2384784"
346,"Protein 297","P297","",""
348,"auxillin","aux","40527",""
350,"GATA binding protein 6","Gata6","14465","107516"
351,"midline 1","Mid1","17318","1100537"
352,"RIKEN cDNA C730048E16 gene","C730048E16Rik","223690","2444209"
353,"paternally expressed 10","Peg10","170676","2157785"
355,"proteolipid protein (myelin) 1","Plp1","18823","97623"
361,"histone cell cycle regulation defective homolog A (S. cerevisiae)","Hira","15260","99430"
363,"homeo box A9","Hoxa9","15405","96180"
366,"expressed sequence C79127","C79127","232941","2142330"
371,"protein phosphatase 2, regulatory subunit B (B56), gamma isoform","Ppp2r5c","26931","1349475"
372,"parotid secretory protein","Psp","19194","97787"
376,"purinergic receptor P2Y, G-protein coupled 12","P2ry12","70839","1918089"
378,"phosphatidylserine decarboxylase","Pisd","320951","2445114"
381,"kinesin family member 17","Kif17","16559","1098229"
382,"glutamate receptor, metabotropic 3","Grm3","108069","1351340"
385,"inhibitor of DNA binding 2","Id2","15902","96397"
389,"nuclear receptor subfamily 3, group C, member 1","Nr3c1","14815","95824"
390,"wingless-related MMTV integration site 1","Wnt1","22408","98953"
391,"angiotensin II receptor, type 2","Agtr2","11609","87966"
393,"myelin basic protein","Mbp","17196","96925"
395,"similar to RIKEN cDNA 3110001N18","LOC236844","236844","3645886"
398,"ciliary neurotrophic factor","Cntf","12803","88439"
399,"decorin","Dcn","13179","94872"
401,"CD200 receptor 1","Cd200r1","57781","1889024"
403,"general transcription factor II H, polypeptide 4","Gtf2h4","14885","1338799"
404,"Max interacting protein 1-SR","Mxi1SR","329455",""
406,"agouti related neuropeptide","Agrp","11604","892013"
407,"Proopiomelanocortin","PomcDoNotUse","",""
414,"Machado-Joseph disease (spinocerebellar ataxia 3, olivopontocerebellar ataxia 3, autosomal dominant, ataxin 3) homolog (human)","Mjd","110616","1099442"
416,"Parkinson disease (autosomal recessive, early onset) 7","Park7","57320","2135637"
417,"monoamine oxidase A","Maoa","17161","96915"
418,"monoamine oxidase B","Maob","109731","96916"
419,"similar to MrgA6 G protein-coupled receptor","LOC233220","233220",""
420,"synuclein, beta","Sncb","104069","1889011"
423,"basic helix-loop-helix family, member e22","Bhlhe22","59058","1930001"
425,"growth differentiation factor 7","Gdf7","238057","95690"
919,"chloride channel calcium activated 3","Clca3","23844","1346342"
430,"cytochrome P450, family 26, subfamily b, polypeptide 1","Cyp26b1","232174","2176159"
432,"period homolog 1 (Drosophila)","Per1","18626","1098283"
439,"plexin A3","Plxna3","18846","107683"
442,"B-cell leukemia/lymphoma 6","Bcl6","12053","107187"
447,"glutamate receptor, metabotropic 5","Grm5","108071","1351342"
448,"Incorrect Lynx2","Incorrect2","",""
450,"forkhead box p3","FoxP3","20371","1891436"
452,"Fez family zinc finger 1","Fezf1","73191","1920441"
455,"IKAROS family zinc finger 4","Ikzf4","22781","1343139"
458,"leucine rich repeat transmembrane neuronal 1","Lrrtm1","74342","2389173"
462,"insulinoma-associated 2","Insm2","56856","1930787"
467,"HAUS augmin-like complex, subunit 5","Haus5","71909","1919159"
471,"endomucin","Emcn","59308","1891716"
474,"roundabout homolog 2 (Drosophila)","Robo2","268902","1890110"
476,"tenascin C","Tnc","21923","101922"
477,"apolipoprotein E","Apoe","11816","88057"
483,"thyroid hormone receptor associated protein 3","Thrap3","230753","2442637"
485,"numb gene homolog (Drosophila)","Numb","18222","107423"
487,"RAB5B, member RAS oncogene family","Rab5b","19344","105938"
494,"casein kinase 1, delta","Csnk1d","104318","1355272"
497,"espressed sequence A1790298","AI790298","107239","2147595"
500,"expressed sequence AI507211","AI507211","228850","2138996"
502,"calumenin","Calu","12321","1097158"
503,"sorting nexin 5","Snx5","69178","1916428"
504,"glutamate receptor, metabotropic 6","Grm6","108072","1351343"
509,"Bcl2-like2","Bcl2l2","12050","108052"
512,"N-myc downstream regulated gene 4","Ndrg4","234593","2384590"
513,"Insulin-like growth factor binding protein 5 duplicate","Igfbp5duplicate","",""
515,"latrophilin 1","Lphn1","330814","1929461"
516,"WNK lysine deficient protein kinase 1","Wnk1","232341","2442092"
518,"CBFA2T1 identified gene homolog (human)","Runx1t1","12395","104793"
519,"cerebellin 1 precursor protein","Cbln1","12404","88281"
530,"EGF, latrophilin seven transmembrane domain containing 1","Eltd1","170757","2655562"
531,"adenosine deaminase, RNA-specific, B1","Adarb1","110532","891999"
532,"rabphilin 3A","Rph3a","19894","102788"
534,"zinc finger protein 385","Zfp385","29813","1352495"
535,"cDNA sequence BC005537","BC005537","79555","2441726"
538,"ect2 oncogene","Ect2","13605","95281"
541,"tissue factor pathway inhibitor","Tfpi","21788","1095418"
547,"GLI-Kruppel family member GLI2","Gli2","14633","95728"
549,"methyl-CpG binding domain protein 3","Mbd3","17192","1333812"
556,"Cxcl12 duplicate","Cxcl12duplicate","",""
558,"vasoactive intestinal polypeptide","Vip","22353","98933"
841,"transient receptor potential cation channel, subfamily C, member 6","Trpc6","22068","109523"
584,"insulin-like growth factor binding protein 1","Igfbp1","16006","96436"
585,"paired-like homeodomain transcription factor 3","Pitx3","18742","1100498"
590,"fibroblast growth factor 1","Fgf1","14164","95515"
592,"transmembrane 9 superfamily protein member 4","Tm9sf4","99237","2139220"
595,"zinc finger protein of the cerebellum 3","Zic3","22773","106676"
596,"gap junction membrane channel protein beta 1","Gjb1","14618","95719"
598,"calcium/calmodulin-dependent protein kinase I gamma","Camk1g","215303","2388073"
601,"myelin-associated glycoprotein","Mag","17136","96912"
607,"transient receptor potential cation channel, subfamily M, member 8","Trpm8","171382","2181435"
610,"twist gene homolog 1 (Drosophila)","Twist1","22160","98872"
611,"neuregulin 1","Nrg1","211323","96083"
614,"LIM homeobox protein 8","Lhx8","16875","1096343"
615,"solute carrier family 5 (choline transporter), member 7","Slc5a7","63993","1927126"
617,"hyperpolarization-activated, cyclic nucleotide-gated K+ 3","Hcn3","15168","1298211"
618,"hyperpolarization-activated, cyclic nucleotide-gated K+ 4","Hcn4","330953","1298209"
621,"runt related transcription factor 2","Runx2","12393","99829"
624,"neuromedin B","Nmb","68039","1915289"
626,"neuropeptide B","Npb","208990","2387153"
630,"feminization 1 homolog a (C. elegans)","Fem1a","14154","1335089"
631,"polypyrimidine tract binding protein 2","Ptbp2","56195","1860489"
632,"core-binding factor, runt domain, alpha subunit 2, translocated to, 3 (human)","Cbfa2t3","12398","1338013"
637,"calcium channel, voltage-dependent, beta 4 subunit","Cacnb4","12298","103301"
638,"cadherin 10","Cdh10","12551","107436"
640,"5-hydroxytryptamine (serotonin) receptor 1F","Htr1f","15557","99842"
642,"LIM homeobox transcription factor 1 beta","Lmx1b","16917","1100513"
644,"synaptotagmin 1","Syt1","20979","99667"
645,"synaptotagmin II","Syt2","20980","99666"
647,"tachykinin receptor 3","Tacr3","21338","892968"
648,"transcription factor 4","Tcf4","21413","98506"
653,"circadian locomotor output cycles kaput","Clock","12753","99698"
654,"calcitonin gene-related peptide","Cgrp","107561","1101063"
656,"disabled homolog 1 (Drosophila)","Dab1","13131","108554"
657,"retinol binding protein 4, plasma","Rbp4","19662","97879"
659,"B-cell leukemia/lymphoma 11B","Bcl11b","58208","1929913"
660,"protein kinase C, beta","Prkcb","",""
661,"NCK-associated protein 1","Nckap1","50884","1355333"
665,"macrophage migration inhibitory factor","Mif","17319","96982"
668,"sorbin and SH3 domain containing 1","Sorbs1","20411","700014"
669,"putative neuronal cell adhesion molecule","Punc","19289","1202390"
671,"cysteine rich transmembrane BMP regulator 1 (chordin like)","Crim1","50766","1354756"
672,"protein tyrosine phosphatase, receptor type, K","Ptprk","19272","103310"
674,"cytochrome P450, family 11, subfamily a, polypeptide 1","Cyp11a1","13070","88582"
675,"cholinergic receptor, nicotinic, alpha polypeptide 5","Chrna5","110835","87889"
676,"RIKEN cDNA A230065H16 gene","A230065H16Rik","380787","2685744"
682,"insulin induced gene 2","Insig2","72999","920249"
685,"potassium channel, subfamily T, member 1","Kcnt1","227632","1924627"
686,"nuclear receptor interacting protein 1","Nrip1","268903","1315213"
687,"rhomboid, veinlet-like 3 (Drosophila)","Rhbdl3","246104","2179276"
688,"spermatogenesis associated 13","Spata13","219140","104838"
689,"ankyrin 1, erythroid","Ank1","11733","88024"
695,"stimulated by retinoic acid gene 6","Stra6","20897","107742"
696,"wingless-type MMTV integration site family, member 5A","Wnt5a","22418","98958"
703,"neuroligin 2","Nlgn2","216856","2681835"
705,"WD repeat domain containing 83","Wdr83","67836","1915086"
706,"thyrotroph embryonic factor","Tef","21685","98663"
708,"brain-specific angiogenesis inhibitor 1-associated protein 2","Baiap2","108100","2137336"
709,"transcription factor CP2-like 2","Grhl1","195733","2182540"
711,"pituitary tumor-transforming gene 1","Pttg1","30939","1353578"
717,"SUMO/sentrin specific protease 3","Senp3","80886","2158736"
718,"RIKEN cDNA 1110020B03 gene","Pitpnc1","71795","1919045"
720,"cyclin-dependent kinase inhibitor 1C (P57)","Cdkn1c","12577","104564"
722,"reticulon 4 receptor","Rtn4r","65079","2136886"
726,"erythrocyte protein band 4.9","Epb49","13829","99670"
728,"voltage-dependent anion channel 1","Vdac1","22333","106919"
729,"WAS protein family, member 1","Wasf1","83767","1890563"
731,"glutamic acid decarboxylase 1","Gad1","14415","95632"
736,"cyclin-dependent kinase 5, regulatory subunit 2 (p39)","Cdk5r2","12570","1330828"
737,"paroxysmal nonkinesiogenic dyskinesia","Pnkd","56695","1930773"
741,"dihydropyrimidinase-like 5","Dpysl5","65254","1929772"
742,"pleckstrin homology domain containing, family B (evectins) member 1","Plekhb1","27276","1351469"
745,"ephrin B3","Efnb3","13643","109196"
747,"genes associated with retinoid-IFN-induced mortality 19","Ndufal3","67184","1914434"
748,"GH regulated TBC protein 1","Grtp1","66790","1914040"
750,"splicing factor, arginine/serine-rich 1 (ASF/SF2)","Sfrs1","110809","98283"
752,"numb-like","Numbl","18223","894702"
755,"lung carcinoma myc related oncogene 1","Mycl1","16918","96799"
761,"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a","Dyrk1a","13548","1330299"
768,"leucine rich repeat containing 8 family, member C","Lrrc8c","100604","2140839"
769,"complexin 1","Cplx1","12889","104727"
772,"Hcn4 duplicate","Hcn4duplicate","330953duplicate",""
773,"interferon-induced protein 44","Ifi44","99899","2443016"
775,"docking protein 5","Dok5","76829","1924079"
776,"gastrulation brain homeobox 2","Gbx2","14472","95668"
777,"ryanodine receptor 1, skeletal muscle","Ryr1","20190","99659"
780,"neuritin 1","Nrn1","68404","1915654"
784,"bone morphogenetic protein receptor, type 1A","Bmpr1a","12166","1338938"
785,"ATP/GTP binding protein 1","Agtpbp1","67269","2159437"
788,"nephroblastoma overexpressed gene","Nov","18133","109185"
791,"chimerin (chimaerin) 1","Chn1","108699","1915674"
792,"cystatin C","Cst3","13010","102519"
793,"prospero homeobox 1","Prox1","19130","97772"
805,"2-5 oligoadenylate synthetase-like 2","Oasl2","23962","1344390"
807,"ubiquitin-conjugating enzyme E2N","Ube2n","93765","1934835"
808,"prion protein","Prnp","19122","97769"
809,"lymphoid enhancer binding factor 1","Lef1","16842","96770"
814,"LIM domain containing 2","Limd2","67803","1915053"
815,"RIKEN cDNA 4632404H22 gene","4632404H22Rik","78755","1926005"
816,"myosin IB","Myo1b","17912","107752"
820,"cholecystokinin A receptor","Cckar","12425","99478"
826,"adaptor-related protein complex 2, beta 1 subunit","Ap2b1","71770","1919020"
827,"non-catalytic region of tyrosine kinase adaptor protein 2","Nck2","17974","1306821"
830,"EST AA606869","Crxos1","381848","2451355"
834,"forkhead box O1","Foxo1","56458","1890077"
837,"phosphatidylinositol transfer protein, membrane-associated 2","Pitpnm2","19679","1336192"
838,"kallikrein related-peptidase 8","Klk8","259277","1343327"
840,"tripartite motif protein 28","Trim28","21849","109274"
843,"5-hydroxytryptamine (serotonin) receptor 7","Htr7","15566","99841"
844,"Iroquois related homeobox 5 (Drosophila)","Irx5","54352","1859086"
846,"histocompatibility 2, T region locus 10","H2-T10","15024","95942"
853,"noggin","Nog","18121","104327"
854,"orthopedia homolog (Drosophila)","Otp","18420","99835"
855,"pleckstrin homology domain interacting protein","Phip","83946","1932404"
857,"kit ligand","Kitl","17311","96974"
859,"opioid receptor, kappa 1","Oprk1","18387","97439"
860,"oxytocin","Oxt","18429","97453"
863,"POU domain, class 3, transcription factor 1","Pou3f1","18991","101896"
867,"mitogen activated protein kinase 9","Mapk9","26420","1346862"
870,"microtubule-associated protein tau","Mapt","17762","97180"
872,"exportin 4","Xpo4","57258","1888526"
874,"potassium channel, subfamily K, member 2","Kcnk2","16526","109366"
877,"apoptosis inhibitor 5","Api5","11800","1888993"
881,"similar to Transcriptional repressor scratch 2 (Scratch homolog 2 zinc finger protein)","LOC383757","383757",""
884,"kinesin family member 1B","Kif1b","16561","108426"
885,"opsin 4 (melanopsin)","Opn4","30044","1353425"
886,"RAS protein-specific guanine nucleotide-releasing factor 1","Rasgrf1","19417","99694"
887,"regulator of G-protein signaling 2","Rgs2","19735","1098271"
892,"heterogeneous nuclear ribonucleoprotein H3","Hnrph3","107938","1926462"
893,"embryonic ectoderm development","Eed","13626","95286"
899,"G protein-coupled receptor 63","Gpr63","81006","2135884"
902,"neurofibromatosis 2","Nf2","18016","97307"
906,"THAP domain containing 4","Thap4","67026","1914276"
907,"Serpine2   serine (or cysteine) proteinase inhibitor, clade E, member 2","Serpine2","20720","101780"
908,"HS1 binding protein","Hax1","23897","1346319"
909,"ubiquitin specific protease 9, X chromosome","Usp9x","22284","894681"
910,"regulator of G-protein signaling 11","Rgs11","50782","1354739"
912,"bromodomain adjacent to zinc finger domain, 2A","Baz2a","116848","2151152"
914,"protocadherin gamma subfamily B, 1","Pcdhgb1","93699","1935169"
915,"FBJ osteosarcoma oncogene B","Fosb","14282","95575"
916,"WD repeat domain 1","Wdr1","22388","1337100"
920,"discoidin domain receptor family, member 1","Ddr1","12305","99216"
922,"5-hydroxytryptamine receptor 2A","HTR2A","3356",""
923,"hyaluronoglucosaminidase 1","HYAL1","3373",""
924,"neurotensin receptor 2","Ntsr2","18217","108018"
931,"H3 histone, family 3A","H3f3a","15078","1097686"
932,"interferon activated gene 205","Ifi205","226695","101847"
935,"purinergic receptor P2Y, G-protein coupled 1","P2ry1","18441","105049"
936,"protein tyrosine phosphatase, receptor type, C","Ptprc","19264","97810"
937,"RAS protein activator like 1 (GAP1 like)","Rasal1","19415","1330842"
938,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)","Sdha","66945","1914195"
939,"Wnt inhibitory factor 1","Wif1","24117","1344332"
940,"interleukin 33","Il33","77125","1924375"
942,"DENN/MADD domain containing 6B","Dennd6b","69440","1916690"
944,"hippocalcin-like 4","Hpcal4","170638","2157521"
945,"A kinase (PRKA) anchor protein (gravin) 12","Akap12","83397","1932576"
947,"FBJ osteosarcoma oncogene","Fos","14281","95574"
954,"carbohydrate sulfotransferase 2","Chst2","54371","1891160"
956,"collagen, type XVIII, alpha 1","Col18a1","12822","88451"
961,"fibroblast growth factor receptor 1","Fgfr1","14182","95522"
1222,"arginine vasopressin receptor 1A","Avpr1a","54140","1859216"
1263,"lysosomal-associated membrane protein family, member 5","Lamp5","76161","1923411"
1299,"mediator complex subunit 12","Med12","59024","1926212"
1338,"follistatin-like 1","Fstl1","14314","102793"
1336,"potassium voltage-gated channel, shaker-related subfamily, beta member 3","Kcnab3","16499","1336208"
1339,"fibronectin 1","Fn1","14268","95566"
969,"GIPC PDZ domain containing family, member 2","Gipc2","54120","1889209"
972,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5","Smarca5","93762","1935129"
974,"brain specific homeobox","Bsx","244813","2669849"
1419,"serine rich and transmembrane domain containing 1","Sertm1","329641","3607715"
976,"glucokinase","Gck","103988","1270854"
981,"opioid receptor, delta 1","Oprd1","18386","97438"
985,"prune homolog (Drosophila)","Prune","229589","1925152"
1133,"mesenchyme homeobox 2","Meox2","17286","103219"
1007,"cerebellin 2 precursor protein","Cbln2","12405","88282"
1009,"cerebellin 4 precursor protein","Cbln4","228942","2154433"
1011,"creatine kinase, mitochondrial 1, ubiquitous","Ckmt1","12716","99441"
1014,"solute carrier family 6 (neurotransmitter transporter, dopamine), member 3","Slc6a3","13162","94862"
1015,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2","St8sia2","20450","106020"
1019,"Abelson helper integration site","Ahi1","52906","87971"
1020,"runt related transcription factor 3","Runx3","12399","102672"
1021,"phosphodiesterase 3B, cGMP-inhibited","Pde3b","18576","1333863"
1023,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)","Farp1","223254","2446173"
1024,"synaptosomal-associated protein 91","Snap91","20616","109132"
1025,"neuronal PAS domain protein 2","Npas2","18143","109232"
1026,"neuronal PAS domain protein 3","Npas3","27386","1351610"
1027,"neuronal PAS domain protein 1","Npas1","18142","109205"
1028,"Mus musculus 0 day neonate cerebellum cDNA, RIKEN full-length enriched library, clone:C230001G10 product:unknown EST, full insert sequence.","C230001G10","",""
1029,"Meis homeobox 2","Meis2","17536","108564"
1030,"ryanodine receptor 3","Ryr3","20192","99684"
1031,"fibroblast growth factor 8","Fgf8","14179","99604"
1032,"adenylate cyclase 2","Adcy2","210044","99676"
1033,"neuropilin (NRP) and tolloid (TLL)-like 1","Neto1","246317","2180216"
1034,"chromosome 6 clone RP24-69C19","NOshortname1","",""
1035,"chromosome 3 clone RP23-181C16","RP23-181C16","",""
1036,"thymoma viral proto-oncogene 3","Akt3","23797","1345147"
1038,"potassium voltage gated channel, Shaw-related subfamily, member 2","Kcnc2","268345","96668"
1040,"transcribed sequence with weak similarity to protein ref:NP_061720.1 (H.sapiens) axonemal dynein heavy chain 7 [Homo sapiens]","NOshortname2","",""
1041,"hypothetical LOC553901","LOC553901","",""
1042,"expressed sequence AI317237","AI317237","239667","2145977"
1043,"zinc finger homeobox 3","Zfhx3","11906","99948"
1044,"zinc finger protein 521","Zfp521","225207","95459"
1045,"protein kinase C, beta 1","Prkcb1","NM_008855","97596"
1046,"Mus musculus 15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930035P11 product:unknown EST, full insert sequence","D930035P11","Not found","Not found"
1047,"seizure related 6 homolog (mouse)-like","Sez6l","56747","1935121"
1048,"neurotrimin","Hnt","235106","2446259"
1049,"naked cuticle 1 homolog (Drosophila)","Nkd1","93960","2135954"
1050,"neuropilin (NRP) and tolloid (TLL)-like 2","Neto2","74513","1921763"
1051,"deleted in colorectal carcinoma","Dcc","13176","94869"
1052,"pre B-cell leukemia transcription factor 3","Pbx3","18516","97496"
1053,"sine oculis-related homeobox 3","Six3","20473","102764"
1054,"ISL1 transcription factor, LIM/homeodomain (islet 1)","Isl1","16392","101791"
1055,"histone deacetylase 9","Hdac9","79221","1931221"
1056,"mannoside acetylglucosaminyltransferase 5","Mgat5","107895","894701"
1057,"discs, large homolog 2 (Drosophila)","Dlg2","23859","1344351"
1058,"thymus, brain and testes associated","Tbata","65971","1923820"
